index,period,attendances,breaches,consent
11767,2018-06-01,336,1,True
1155,2016-12-01,200,0,True
2059,2016-10-01,6452,360,True
3468,2016-05-01,417,0,True
4153,2018-03-01,9376,112,True
4820,2018-02-01,245,0,True
7243,2017-07-01,5170,235,True
8057,2017-04-01,15957,1309,True
8957,2019-02-01,7258,1374,True
10214,2018-10-01,3197,0,True
10328,2018-10-01,2033,8,True
